symbol,name,sector,industry
RELIANCE,Reliance Industries Ltd,Energy,Refineries & Marketing
TCS,Tata Consultancy Services Ltd,Information Technology,IT Services
HDFCBANK,HDFC Bank Ltd,Financial Services,Private Bank
ICICIBANK,ICICI Bank Ltd,Financial Services,Private Bank
INFY,Infosys Ltd,Information Technology,IT Services
HINDUNILVR,Hindustan Unilever Ltd,Consumer Staples,Household & Personal Products
ITC,ITC Ltd,Consumer Staples,Diversified FMCG
SBIN,State Bank of India,Financial Services,Public Bank
BHARTIARTL,Bharti Airtel Ltd,Telecommunication,Telecom Services
KOTAKBANK,Kotak Mahindra Bank Ltd,Financial Services,Private Bank
LT,Larsen & Toubro Ltd,Capital Goods,Construction & Engineering
AXISBANK,Axis Bank Ltd,Financial Services,Private Bank
BAJFINANCE,Bajaj Finance Ltd,Financial Services,NBFC
ASIANPAINT,Asian Paints Ltd,Consumer Discretionary,Paints
MARUTI,Maruti Suzuki India Ltd,Automobile,Passenger Cars
HCLTECH,HCL Technologies Ltd,Information Technology,IT Services
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,Pharmaceuticals
TITAN,Titan Company Ltd,Consumer Discretionary,Gems & Jewellery
ULTRACEMCO,UltraTech Cement Ltd,Construction Materials,Cement
WIPRO,Wipro Ltd,Information Technology,IT Services
NESTLEIND,Nestle India Ltd,Consumer Staples,Packaged Foods
ONGC,Oil & Natural Gas Corporation Ltd,Energy,Oil Exploration
NTPC,NTPC Ltd,Power,Power Generation
POWERGRID,Power Grid Corporation of India Ltd,Power,Power Transmission
TATAMOTORS,Tata Motors Ltd,Automobile,Commercial Vehicles
M&M,Mahindra & Mahindra Ltd,Automobile,Passenger Cars
ADANIENT,Adani Enterprises Ltd,Diversified,Trading & Distribution
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Services,Port & Port Services
COALINDIA,Coal India Ltd,Metals & Mining,Coal
BAJAJFINSV,Bajaj Finserv Ltd,Financial Services,Holding Company
JSWSTEEL,JSW Steel Ltd,Metals & Mining,Iron & Steel
TATASTEEL,Tata Steel Ltd,Metals & Mining,Iron & Steel
HINDALCO,Hindalco Industries Ltd,Metals & Mining,Aluminium
INDUSINDBK,IndusInd Bank Ltd,Financial Services,Private Bank
GRASIM,Grasim Industries Ltd,Construction Materials,Cement
DRREDDY,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals
CIPLA,Cipla Ltd,Healthcare,Pharmaceuticals
TECHM,Tech Mahindra Ltd,Information Technology,IT Services
BRITANNIA,Britannia Industries Ltd,Consumer Staples,Packaged Foods
DIVISLAB,Divis Laboratories Ltd,Healthcare,Pharmaceuticals
EICHERMOT,Eicher Motors Ltd,Automobile,Two Wheelers
HEROMOTOCO,Hero MotoCorp Ltd,Automobile,Two Wheelers
BAJAJ-AUTO,Bajaj Auto Ltd,Automobile,Two Wheelers
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,Healthcare,Hospitals
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,Tea & Coffee
BPCL,Bharat Petroleum Corporation Ltd,Energy,Refineries & Marketing
IOC,Indian Oil Corporation Ltd,Energy,Refineries & Marketing
SHRIRAMFIN,Shriram Finance Ltd,Financial Services,NBFC
SBILIFE,SBI Life Insurance Company Ltd,Financial Services,Life Insurance
HDFCLIFE,HDFC Life Insurance Company Ltd,Financial Services,Life Insurance
LTIM,LTIMindtree Ltd,Information Technology,IT Services
DMART,Avenue Supermarts Ltd,Consumer Staples,Retail
PIDILITIND,Pidilite Industries Ltd,Chemicals,Specialty Chemicals
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,Household & Personal Products
DABUR,Dabur India Ltd,Consumer Staples,Household & Personal Products
MARICO,Marico Ltd,Consumer Staples,Edible Oil
SIEMENS,Siemens Ltd,Capital Goods,Heavy Electrical Equipment
HAVELLS,Havells India Ltd,Consumer Discretionary,Consumer Electronics
AMBUJACEM,Ambuja Cements Ltd,Construction Materials,Cement
SHREECEM,Shree Cement Ltd,Construction Materials,Cement
VEDL,Vedanta Ltd,Metals & Mining,Diversified Metals
BANKBARODA,Bank of Baroda,Financial Services,Public Bank
PNB,Punjab National Bank,Financial Services,Public Bank
CANBK,Canara Bank,Financial Services,Public Bank
UNIONBANK,Union Bank of India,Financial Services,Public Bank
IDFCFIRSTB,IDFC First Bank Ltd,Financial Services,Private Bank
FEDERALBNK,Federal Bank Ltd,Financial Services,Private Bank
BANDHANBNK,Bandhan Bank Ltd,Financial Services,Private Bank
AUBANK,AU Small Finance Bank Ltd,Financial Services,Private Bank
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Financial Services,NBFC
